partida_id,rodada_x,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,formacao_mandante,formacao_visitante,resultado,temporada,mv,gols
6126,1,Cruzeiro,12,2,40%,425,81%,20,3,0,0,7,4-2-3-1,4-2-3-1,D,2018,m,0
6126,1,Gremio,6,2,60%,649,86%,15,1,1,3,4,4-2-3-1,4-2-3-1,V,2018,v,1
6127,1,Vitoria,21,6,66%,545,88%,24,3,0,2,4,4-2-3-1,4-1-4-1,E,2018,m,2
6127,1,Flamengo,10,5,34%,286,72%,10,2,1,2,5,4-2-3-1,4-1-4-1,E,2018,v,2
6128,1,Santos,22,3,54%,532,90%,7,0,0,1,4,4-3-3,4-1-4-1,V,2018,m,2
6128,1,Ceara,10,2,46%,472,85%,5,1,0,0,2,4-3-3,4-1-4-1,D,2018,v,0
6129,1,America-MG,14,4,38%,363,76%,11,1,0,4,2,4-1-4-1,4-3-2-1,V,2018,m,3
6129,1,Sport,15,5,62%,580,85%,12,3,0,3,6,4-1-4-1,4-3-2-1,D,2018,v,0
6130,1,Vasco,19,7,67%,596,88%,11,4,0,3,9,4-1-4-1,4-1-4-1,V,2018,m,2
6130,1,Atletico-MG,11,6,33%,321,78%,18,3,0,3,3,4-1-4-1,4-1-4-1,D,2018,v,1
6131,1,Internacional,13,4,45%,412,75%,16,2,0,1,4,4-2-3-1,4-2-3-1,V,2018,m,2
6131,1,Bahia,12,2,55%,491,82%,18,0,0,1,3,4-2-3-1,4-2-3-1,D,2018,v,0
6132,1,Corinthians,11,2,65%,515,84%,14,0,0,0,6,4-2-4-0,5-4-1,V,2018,m,2
6132,1,Fluminense,13,3,35%,293,73%,15,0,0,0,2,4-2-4-0,5-4-1,D,2018,v,1
6133,1,Athletico-PR,18,8,70%,646,92%,10,1,0,3,3,3-4-2-1,5-4-1,V,2018,m,5
6133,1,Chapecoense,14,1,30%,271,77%,16,3,0,1,9,3-4-2-1,5-4-1,D,2018,v,1
6134,1,Sao Paulo,10,5,52%,480,86%,20,4,0,3,7,4-2-3-1,4-1-4-1,V,2018,m,1
6134,1,Parana,7,1,48%,446,84%,15,2,0,2,7,4-2-3-1,4-1-4-1,D,2018,v,0
6135,1,Botafogo-RJ,13,3,46%,409,80%,7,1,0,0,8,4-1-4-1,4-2-3-1,E,2018,m,1
6135,1,Palmeiras,7,4,54%,498,81%,23,4,0,0,3,4-1-4-1,4-2-3-1,E,2018,v,1
6136,2,Bahia,12,5,54%,395,84%,29,4,0,2,7,4-2-3-1,4-2-3-1,V,2018,m,1
6136,2,Santos,8,2,46%,352,80%,21,3,0,5,6,4-2-3-1,4-2-3-1,D,2018,v,0
6137,2,Flamengo,14,5,49%,345,82%,15,1,0,1,6,4-1-4-1,4-2-3-1,V,2018,m,2
6137,2,America-MG,18,5,51%,345,79%,17,1,0,0,12,4-1-4-1,4-2-3-1,D,2018,v,0
6138,2,Parana,17,6,48%,413,84%,16,1,0,2,5,4-2-3-1,4-2-4-0,D,2018,m,0
6138,2,Corinthians,9,4,52%,467,82%,16,1,0,1,2,4-2-3-1,4-2-4-0,V,2018,v,4
6139,2,Ceara,14,3,51%,497,85%,12,1,0,1,7,3-4-2-1,4-1-4-1,E,2018,m,0
6139,2,Sao Paulo,11,3,49%,476,86%,7,1,0,1,7,3-4-2-1,4-1-4-1,E,2018,v,0
6140,2,Atletico-MG,12,5,61%,497,86%,22,2,0,6,6,4-2-3-1,4-2-3-1,V,2018,m,2
