id;rodada;mandante;visitante;formacao_mandante;formacao_visitante;vencedor;mandante_placar;visitante_placar;vencedor_mandante_visitante_empate;total_gols;temporada
1951;1;internacional;botafogo-rj;;;botafogo-rj;2;3;2.0;5;2007
1963;2;botafogo-rj;atletico-mg;;;botafogo-rj;2;1;1.0;3;2007
1976;3;flamengo;botafogo-rj;;;-;2;2;3.0;4;2007
1978;4;botafogo-rj;gremio;;;botafogo-rj;3;0;1.0;3;2007
1987;5;palmeiras;botafogo-rj;;;-;1;1;3.0;2;2007
1997;12;botafogo-rj;vasco;;;botafogo-rj;4;0;1.0;4;2007
2014;6;botafogo-rj;nautico;;;botafogo-rj;3;1;1.0;4;2007
2034;8;fluminense;botafogo-rj;;;botafogo-rj;1;2;2.0;3;2007
2043;9;goias;botafogo-rj;;;-;1;1;3.0;2;2007
2051;10;botafogo-rj;athletico-pr;;;botafogo-rj;2;0;1.0;2;2007
2070;11;santos;botafogo-rj;;;santos;3;0;1.0;3;2007
2094;14;botafogo-rj;juventude;;;botafogo-rj;3;1;1.0;4;2007
2085;13;sport;botafogo-rj;;;-;3;3;3.0;6;2007
2104;15;cruzeiro;botafogo-rj;;;cruzeiro;3;2;1.0;5;2007
2110;16;botafogo-rj;america-rn;;;botafogo-rj;4;2;1.0;6;2007
2126;17;parana;botafogo-rj;;;-;0;0;3.0;0;2007
2132;18;botafogo-rj;sao paulo;;;sao paulo;0;2;2.0;2;2007
2142;19;figueirense;botafogo-rj;;;-;1;1;3.0;2;2007
2025;7;botafogo-rj;corinthians;;;corinthians;2;3;2.0;5;2007
2154;20;botafogo-rj;internacional;;;-;1;1;3.0;2;2007
2160;21;atletico-mg;botafogo-rj;;;botafogo-rj;1;2;2.0;3;2007
2169;22;botafogo-rj;flamengo;;;-;1;1;3.0;2;2007
2183;23;gremio;botafogo-rj;;;gremio;3;0;1.0;3;2007
2195;24;botafogo-rj;palmeiras;;;-;1;1;3.0;2;2007
2206;25;nautico;botafogo-rj;;;nautico;4;1;1.0;5;2007
2210;26;corinthians;botafogo-rj;;;botafogo-rj;0;1;2.0;1;2007
2225;27;botafogo-rj;fluminense;;;fluminense;0;2;2.0;2;2007
2231;28;botafogo-rj;goias;;;goias;0;3;2.0;3;2007
