Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,Partidas,-9999
1,Adryelson,br BRA,ZG,Sport Recife,19,1998,11,11,990,11.0,1,0,1,1,0,0,2,0,,,,009,000,009,009,009,Partidas,e980e78d
2,Rodrigo Aguirre,uy URU,LTAT,Botafogo (RJ),23,1994,20,6,747,8.3,1,0,1,1,0,0,4,2,,,,012,000,012,012,012,Partidas,b5691f5d
3,Airton,br BRA,LT,Fluminense,27,1990,8,6,479,5.3,0,0,0,0,0,0,5,0,,,,000,000,000,000,000,Partidas,00dee972
4,Juan Alano,br BRA,LT,Internacional,21,1996,9,2,278,3.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,88c61631
5,Yuri Alberto,br BRA,LTAT,Santos,16,2001,9,2,265,2.9,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,65159211
6,Alejandro,br BRA,AT,Cruzeiro,15,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,90d5e4b2
7,Alemão,br BRA,ZG,Paraná,27,1990,6,5,455,5.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,bc631250
8,Raphael Alemão,br BRA,LT,Paraná,21,1996,7,3,280,3.1,0,0,0,0,0,0,1,1,,,,000,000,000,000,000,Partidas,7e23071f
9,Alerrandro,br BRA,AT,Atlético Mineiro,18,2000,8,2,202,2.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,3415a44d
10,Matheus Alessandro,br BRA,LTAT,Fluminense,21,1996,23,6,900,10.0,0,1,1,0,0,0,4,1,,,,000,010,010,000,010,Partidas,4f64b89f
11,Alesson,br BRA,LTAT,Paraná,18,1999,7,2,239,2.7,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,611e984e
12,Alex,br BRA,ZG,Fluminense,18,1999,1,0,14,0.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,7367baf7
13,Alison,br BRA,LT,Santos,24,1993,28,28,2.264,25.2,0,1,1,0,0,0,12,0,,,,000,004,004,000,004,Partidas,d39b373b
14,Alisson,br BRA,LT,Grêmio,24,1993,22,12,1.413,15.7,1,3,4,1,0,0,2,0,,,,006,019,025,006,025,Partidas,99139fa4
15,Agustín Allione,ar ARG,LT,Bahia,23,1994,10,1,196,2.2,1,1,2,1,0,0,0,0,,,,046,046,092,046,092,Partidas,cfc832a8
16,Diego Alves,br BRA,G,Flamengo,32,1985,23,23,2.070,23.0,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,12421a7c
17,Felipe Alves Raymundo,br BRA,G,Atl Paranaense,29,1988,6,6,540,6.0,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,7fbe8689
18,Ronaldo Alves,br BRA,ZG,Sport Recife,28,1989,29,27,2.426,27.0,0,0,0,0,0,0,9,0,,,,000,000,000,000,000,Partidas,f089b25e
19,Tiago Alves,br BRA,ZG,Ceará,33,1984,28,26,2.320,25.8,1,0,1,1,0,0,4,0,,,,004,000,004,004,004,Partidas,597a34c7
20,Jonatan Álvez,uy URU,AT,Internacional,29,1988,17,10,798,8.9,4,0,4,4,0,0,6,0,,,,045,000,045,045,045,Partidas,671ebe75
21,Amaral,br BRA,LT,Chapecoense,31,1986,24,22,1.941,21.6,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,a19bfce8
22,Anderson,br BRA,G,Bahia,34,1983,14,12,1.128,12.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,7ffcf9d0
23,Thonny Anderson,br BRA,ATLT,Grêmio,20,1997,16,5,591,6.6,3,1,4,3,0,0,0,0,,,,046,015,061,046,061,Partidas,7a7c9837
24,Rodrigo Andrade,br BRA,LTZG,Vitória,20,1997,22,18,1.313,14.6,0,0,0,0,0,0,6,0,,,,000,000,000,000,000,Partidas,41b628fe
25,Tomás Andrade,ar ARG,LT,Atlético Mineiro,21,1996,17,8,662,7.4,3,2,5,3,0,0,1,0,,,,041,027,068,041,068,Partidas,d43c4b3a
26,Victor Andrade,br BRA,LT,Chapecoense,22,1995,6,6,362,4.0,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,1dc83c51
27,André,br BRA,AT,Grêmio,27,1990,24,19,1.495,16.6,4,0,4,3,1,1,5,0,,,,024,000,024,018,018,Partidas,13b52dec
28,Paulo André,br BRA,ZG,Atl Paranaense,34,1983,11,11,928,10.3,1,0,1,1,0,0,5,0,,,,010,000,010,010,010,Partidas,996c6787
29,Andrey,br BRA,LTAT,Paraná,17,2000,9,7,624,6.9,1,2,3,1,0,0,3,2,,,,014,029,043,014,043,Partidas,0895499c
30,Andrigo,br BRA,LTZG,Sport Recife,22,1995,17,9,887,9.9,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,8b400e13
31,Luiz Antônio,br BRA,LT,Chapecoense,26,1991,5,4,291,3.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,b462c35b
32,Marco Antônio,br BRA,LTAT,Bahia,20,1997,10,5,433,4.8,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,94cc9e88
33,Antony,br BRA,ATLT,São Paulo,17,2000,3,0,46,0.5,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,99127249
34,Apodi,br BRA,ZG,Chapecoense,31,1986,11,11,948,10.5,0,2,2,0,0,0,0,0,,,,000,019,019,000,019,Partidas,affbe6bc
35,Willian Arão,br BRA,LT,Flamengo,25,1992,23,15,1.461,16.2,2,2,4,2,0,0,6,1,,,,012,012,025,012,025,Partidas,f47a530a
36,Ángelo Araos,cl CHI,LT,Corinthians,21,1997,15,6,575,6.4,0,1,1,0,0,0,3,1,,,,000,016,016,000,016,Partidas,c8e4f105
37,Felipe Araruna,br BRA,ZGLT,São Paulo,21,1996,11,7,644,7.2,0,1,1,0,0,0,2,1,,,,000,014,014,000,014,Partidas,d6b94d77
38,Márcio Araújo,br BRA,LT,Chapecoense,33,1984,30,30,2.412,26.8,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,f5affa62
39,Vinícius Araújo,br BRA,LT,Vasco da Gama,24,1993,5,1,200,2.2,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,5d6b9376
40,Robert Arboleda,ec ECU,ZG,São Paulo,26,1991,26,26,2.334,25.9,0,2,2,0,0,0,7,0,,,,000,008,008,000,008,Partidas,269dbfc6
41,Arnaldo,br BRA,LTZG,Ceará,25,1992,12,4,404,4.5,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,58ac8926
42,Arouca,br BRA,LT,Vitória,31,1986,11,10,812,9.0,0,0,0,0,0,0,4,0,,,,000,000,000,000,000,Partidas,b96444f3
43,Arthur,br BRA,AT,Ceará,19,1998,31,27,2.462,27.4,7,2,9,7,0,1,5,0,,,,026,007,033,026,033,Partidas,a820e429
44,Arthur,br BRA,LTAT,Santos,19,1998,13,4,413,4.6,0,1,1,0,0,0,1,0,,,,000,022,022,000,022,Partidas,184ad240
45,Arthur,br BRA,LT,Chapecoense,25,1992,11,11,877,9.7,4,0,4,4,0,0,3,0,,,,041,000,041,041,041,Partidas,4a870f60
46,Artur,,LT,Palmeiras,19,1998,5,1,115,1.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,1313bfb3
