Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999
1,Abner,br BRA,ZG,Atl Paranaense,22,1996,4,2,219,2.4,0,1,1,0,0,0,0,0,0.0,0.0,0.4,04,9,9,18,000,041,041,000,041,000,018,018,000,018,Partidas,8e562fe7
2,Abner,br BRA,ZG,Atl Paranaense,18,2000,8,6,549,6.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,05,8,15,33,000,016,016,000,016,003,005,008,003,008,Partidas,7f9c5d2d
3,Adalberto,br BRA,ZG,Fortaleza,31,1987,1,0,46,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,2,2,0,000,000,000,000,000,000,000,000,000,000,Partidas,edecb971
4,Adriano,br BRA,ZGAT,Atl Paranaense,34,1984,11,7,607,6.7,1,1,2,1,0,0,3,0,0.2,0.2,1.2,13,25,49,31,015,015,030,015,030,003,017,020,003,020,Partidas,9d8586c4
5,Luiz Adriano,br BRA,AT,Palmeiras,31,1987,13,11,894,9.9,6,1,7,6,0,0,0,0,4.7,4.7,0.8,55,2,10,36,060,010,070,060,070,047,008,056,047,056,Partidas,2557c196
6,Felipe Aguilar,co COL,ZG,Santos,26,1993,17,17,1.433,15.9,0,0,0,0,0,0,3,0,0.3,0.3,0.1,04,2,35,3,000,000,000,000,000,002,000,002,002,002,Partidas,c285529f
7,Airton,br BRA,LT,Fluminense,28,1990,11,8,461,5.1,0,0,0,0,0,0,3,1,0.0,0.0,0.2,02,1,25,1,000,000,000,000,000,000,004,004,000,004,Partidas,00dee972
8,Felipe Albuquerque,br BRA,ZG,Grêmio,19,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,2,2,000,000,000,000,000,000,000,000,000,000,Partidas,a63f0a7c
9,José Aldo,br BRA,LT,Internacional,20,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,026,000,026,026,026,Partidas,2f90595a
10,Alecsandro,br BRA,AT,CSA,37,1981,20,15,1.167,13.0,2,0,2,2,0,1,1,0,3.6,2.7,0.2,29,7,18,39,015,000,015,015,015,027,001,029,021,023,Partidas,266bd6fb
