partida_id,rodada,mandante,visitante,formacao_mandante,formacao_visitante,vencedor,mandante_placar,visitante_placar,clube_mandante,chutes_mandante,chutes_no_alvo_mandante,posse_de_bola_mandante,passes_mandante,precisao_passes_mandante,faltas_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,impedimentos_mandante,escanteios_mandante,rodata_visitante,clube_visitante,chutes_visitante,chutes_no_alvo_visitante,posse_de_bola_visitante,passes_visitante,precisao_passes_visitante,faltas_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,impedimentos_visitante,escanteios_visitante,temporada,resultado,total_gols
6126,1,Cruzeiro,Gremio,4-2-3-1,4-2-3-1,Gremio,0,1,Cruzeiro,12,2,0.4,425,0.81,20,3,0,0,7,1,Gremio,6,2,0.6,649,0.86,15,1,1,3,4,2018,2,1
6127,1,Vitoria,Flamengo,4-2-3-1,4-1-4-1,-,2,2,Vitoria,21,6,0.66,545,0.88,24,3,0,2,4,1,Flamengo,10,5,0.34,286,0.72,10,2,1,2,5,2018,3,4
6128,1,Santos,Ceara,4-3-3,4-1-4-1,Santos,2,0,Santos,22,3,0.54,532,0.9,7,0,0,1,4,1,Ceara,10,2,0.46,472,0.85,5,1,0,0,2,2018,1,2
6129,1,America-MG,Sport,4-1-4-1,4-3-2-1,America-MG,3,0,America-MG,14,4,0.38,363,0.76,11,1,0,4,2,1,Sport,15,5,0.62,580,0.85,12,3,0,3,6,2018,1,3
6130,1,Vasco,Atletico-MG,4-1-4-1,4-1-4-1,Vasco,2,1,Vasco,19,7,0.67,596,0.88,11,4,0,3,9,1,Atletico-MG,11,6,0.33,321,0.78,18,3,0,3,3,2018,1,3
6131,1,Internacional,Bahia,4-2-3-1,4-2-3-1,Internacional,2,0,Internacional,13,4,0.45,412,0.75,16,2,0,1,4,1,Bahia,12,2,0.55,491,0.82,18,0,0,1,3,2018,1,2
6132,1,Corinthians,Fluminense,4-2-4-0,5-4-1,Corinthians,2,1,Corinthians,11,2,0.65,515,0.84,14,0,0,0,6,1,Fluminense,13,3,0.35,293,0.73,15,0,0,0,2,2018,1,3
6133,1,Athletico-PR,Chapecoense,3-4-2-1,5-4-1,Athletico-PR,5,1,Athletico-PR,18,8,0.7,646,0.92,10,1,0,3,3,1,Chapecoense,14,1,0.3,271,0.77,16,3,0,1,9,2018,1,6
6134,1,Sao Paulo,Parana,4-2-3-1,4-1-4-1,Sao Paulo,1,0,Sao Paulo,10,5,0.52,480,0.86,20,4,0,3,7,1,Parana,7,1,0.48,446,0.84,15,2,0,2,7,2018,1,1
6135,1,Botafogo-RJ,Palmeiras,4-1-4-1,4-2-3-1,-,1,1,Botafogo-RJ,13,3,0.46,409,0.8,7,1,0,0,8,1,Palmeiras,7,4,0.54,498,0.81,23,4,0,0,3,2018,3,2
6136,2,Bahia,Santos,4-2-3-1,4-2-3-1,Bahia,1,0,Bahia,12,5,0.54,395,0.84,29,4,0,2,7,2,Santos,8,2,0.46,352,0.8,21,3,0,5,6,2018,1,1
6137,2,Flamengo,America-MG,4-1-4-1,4-2-3-1,Flamengo,2,0,Flamengo,14,5,0.49,345,0.82,15,1,0,1,6,2,America-MG,18,5,0.51,345,0.79,17,1,0,0,12,2018,1,2
6138,2,Parana,Corinthians,4-2-3-1,4-2-4-0,Corinthians,0,4,Parana,17,6,0.48,413,0.84,16,1,0,2,5,2,Corinthians,9,4,0.52,467,0.82,16,1,0,1,2,2018,2,4
6139,2,Ceara,Sao Paulo,3-4-2-1,4-1-4-1,-,0,0,Ceara,14,3,0.51,497,0.85,12,1,0,1,7,2,Sao Paulo,11,3,0.49,476,0.86,7,1,0,1,7,2018,3,0
6140,2,Atletico-MG,Vitoria,4-2-3-1,4-2-3-1,Atletico-MG,2,1,Atletico-MG,12,5,0.61,497,0.86,22,2,0,6,6,2,Vitoria,11,3,0.39,321,0.78,19,4,0,1,5,2018,1,3
6141,2,Fluminense,Cruzeiro,3-4-1-2,4-4-2,Fluminense,1,0,Fluminense,3,1,0.31,273,0.69,13,3,1,0,1,2,Cruzeiro,16,6,0.69,576,0.85,19,2,0,3,7,2018,1,1
6142,2,Chapecoense,Vasco,4-2-3-1,4-2-3-1,-,1,1,Chapecoense,10,2,0.36,306,0.75,13,1,0,2,3,2,Vasco,17,4,0.64,559,0.84,8,2,0,2,3,2018,3,2
6143,2,Palmeiras,Internacional,4-2-3-1,4-2-3-1,Palmeiras,1,0,Palmeiras,13,2,0.44,390,0.79,14,2,0,0,8,2,Internacional,7,2,0.56,483,0.81,15,2,0,2,9,2018,1,1
6144,2,Gremio,Athletico-PR,4-2-3-1,3-4-3,-,0,0,Gremio,22,6,0.49,587,0.86,9,3,0,3,7,2,Athletico-PR,7,1,0.51,602,0.85,15,2,1,1,4,2018,3,0
